Feature,MutualInformation
Destination.Port,0.6111374660456619
Init_Win_bytes_backward,0.5605723749810116
Init_Win_bytes_forward,0.4534151208834656
Bwd.Packet.Length.Max,0.3798474775946552
Source.Port,0.3761466156081452
Fwd.Packet.Length.Max,0.37292006456706295
Max.Packet.Length,0.36190028878863023
Fwd.Header.Length.1,0.33649780192274736
Fwd.Header.Length,0.33491890807974034
Subflow.Fwd.Bytes,0.315171619469766
Total.Length.of.Fwd.Packets,0.31390039343852694
Bwd.Bytes.Per.Packet,0.3026036922427595
Avg.Fwd.Segment.Size,0.2991944101741444
Fwd.Packet.Length.Mean,0.2956427657581173
Fwd.Bytes.Per.Packet,0.29495997493127035
Flow.IAT.Max,0.2807145715047721
Bwd.Packet.Length.Mean,0.26890399661356357
Subflow.Bwd.Bytes,0.268878929450171
Avg.Bwd.Segment.Size,0.26724958969184565
Total.Length.of.Bwd.Packets,0.2650896321552949
Bwd.Header.Length,0.26320736841789305
Fwd.IAT.Max,0.2591434951627605
Average.Packet.Size,0.25817266449080645
Packet.Length.Mean,0.2553978523193172
Fwd.Packet.Length.Std,0.25140944185495373
Fwd.Bwd.Byte.Ratio,0.24769857642176962
Flow.Duration,0.24605946447099347
Bwd.IAT.Max,0.24532021594379128
Packet.Length.Std,0.23299695660450626
Fwd.IAT.Total,0.23190943506603023
Packet.Length.Variance,0.23091942812464605
Bwd.Packet.Length.Std,0.2220214219958181
Bwd.IAT.Total,0.21463442017401668
Bwd.Packets.s,0.18730050233837892
Bwd.Packets.Per.Second,0.1863344357754677
Fwd.Packets.s,0.185896203342093
Fwd.IAT.Mean,0.1854819908426233
Fwd.Packets.Per.Second,0.18305243014593842
Fwd.Bytes.Per.Second,0.17354622488066473
Fwd.IAT.Std,0.17239636400664837
Flow.Packets.s,0.1701915548887274
Flow.IAT.Std,0.1658269600792006
Flow.Bytes.s,0.16452041039226906
Flow.IAT.Mean,0.16409055465702194
Bwd.IAT.Std,0.16285795477452902
Bwd.IAT.Mean,0.15808165064803248
min_seg_size_forward,0.1553731956216895
Fwd.Bwd.Packet.Ratio,0.14028372221268093
Bwd.Bytes.Per.Second,0.13998911203173536
Idle.Max,0.1290834688104554
Total.Backward.Packets,0.12485334629819356
Total.Fwd.Packets,0.12184853064809475
Subflow.Bwd.Packets,0.12150242636540964
Idle.Mean,0.11972150804587933
Idle.Min,0.11967790172143156
Fwd.Packet.Length.Min,0.11882838371031568
Subflow.Fwd.Packets,0.11833242448357506
act_data_pkt_fwd,0.115977080208582
Active.Min,0.10277183372942789
Min.Packet.Length,0.09031003021348605
Active.Max,0.0898878228012836
Active.Mean,0.08603657740429327
Bwd.Packet.Length.Min,0.0818562136802119
Idle.Std,0.06776630630545055
Fwd.IAT.Min,0.06697415720580002
Active.Std,0.06258434610312191
Flow.IAT.Min,0.05928128997846471
URG.Flag.Count,0.05387523774848635
SYN.Flag.Count,0.04986690578966524
ACK.Flag.Count,0.04854190132620628
Bwd.IAT.Min,0.04788764897316389
Fwd.PSH.Flags,0.04507032960176982
PSH.Flag.Count,0.03626736345478809
Down.Up.Ratio,0.03200344591290305
Protocol,0.011056813999841708
Bwd.URG.Flags,0.005622919028524631
Bwd.Avg.Bulk.Rate,0.00495734587793395
Bwd.Avg.Packets.Bulk,0.0028918444385523934
FIN.Flag.Count,0.0020453497214618643
Fwd.URG.Flags,0.0009929574207441227
Fwd.Avg.Packets.Bulk,0.0007853171115379531
Fwd.Avg.Bytes.Bulk,0.000513622515784018
Bwd.Avg.Bytes.Bulk,0.0
Bwd.PSH.Flags,0.0
ECE.Flag.Count,0.0
CWE.Flag.Count,0.0
RST.Flag.Count,0.0
Fwd.Avg.Bulk.Rate,0.0
