,precision,recall,f1-score,support
180,0.0,0.0,0.0,4.0
163,0.0,0.0,0.0,8.0
158,0.0,0.0,0.0,4.0
156,0.0,0.0,0.0,25.0
153,0.0,0.0,0.0,4.0
175,0.0,0.0,0.0,8.0
123,0.0,0.0,0.0,17.0
191,0.0,0.0,0.0,4.0
195,0.0,0.0,0.0,4.0
179,0.0,0.0,0.0,24.0
133,0.2,0.03333333333333333,0.05714285714285714,30.0
176,0.11764705882352941,0.05263157894736842,0.07272727272727272,38.0
145,0.125,0.08,0.0975609756097561,25.0
142,0.23333333333333334,0.0875,0.12727272727272726,80.0
120,0.15476190476190477,0.1262135922330097,0.13903743315508021,309.0
122,0.17346938775510204,0.15066469719350073,0.16126482213438736,677.0
70,0.18674698795180722,0.17270194986072424,0.17945007235890015,359.0
210,0.2,0.2,0.2,5.0
203,0.6666666666666666,0.125,0.21052631578947367,16.0
143,0.3333333333333333,0.16666666666666666,0.2222222222222222,24.0
221,0.45454545454545453,0.15151515151515152,0.22727272727272727,33.0
135,0.3333333333333333,0.2,0.25,5.0
68,0.2784313725490196,0.2886178861788618,0.2834331337325349,246.0
222,0.5,0.2222222222222222,0.3076923076923077,9.0
125,0.35990338164251207,0.28875968992248063,0.3204301075268817,516.0
60,0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0
64,0.3,0.5,0.375,18.0
140,0.5633802816901409,0.3053435114503817,0.39603960396039606,131.0
124,0.45016207455429497,0.3885974116824064,0.4171203303923409,2859.0
212,0.5275590551181102,0.36492374727668847,0.43142305215711524,918.0
114,0.4,0.5,0.4444444444444444,4.0
185,0.5,0.5,0.5,4.0
36,0.6666666666666666,0.4,0.5,5.0
220,0.6917808219178082,0.404,0.51010101010101,250.0
148,0.5454545454545454,0.5,0.5217391304347826,12.0
67,0.42857142857142855,0.75,0.5454545454545454,4.0
211,0.6774193548387096,0.4772727272727273,0.56,44.0
169,0.6666666666666666,0.5,0.5714285714285714,8.0
178,0.6754068716094033,0.5130494505494505,0.5831381733021077,1456.0
219,0.7045454545454546,0.6019417475728155,0.6492146596858639,103.0
130,0.6401390413465057,0.6586972891566265,0.6492855817405827,5312.0
139,1.0,0.5,0.6666666666666666,4.0
92,0.75,0.6,0.6666666666666666,5.0
121,0.691566265060241,0.6784869976359338,0.684964200477327,423.0
131,0.7214698162729659,0.6593744003070428,0.689025918684514,10422.0
126,0.6913809082483782,0.7442788551474715,0.7168553496891985,16037.0
91,0.7017519073184515,0.7334613112817484,0.7172563176895307,6772.0
5,0.6756756756756757,0.78125,0.7246376811594203,32.0
147,0.7879924953095685,0.7241379310344828,0.7547169811320755,580.0
119,0.775,0.7607361963190185,0.7678018575851393,489.0
7,0.7824649136957573,0.8484344936155326,0.814115474991608,11434.0
40,0.8551724137931035,0.8435374149659864,0.8493150684931506,147.0
1,0.8,1.0,0.8888888888888888,4.0
9,0.8571428571428571,1.0,0.9230769230769231,6.0
81,1.0,1.0,1.0,31.0
