Feature,Importance
num__Destination.Port,0.09430803471765016
num__Source.Port,0.057271196743134044
num__Init_Win_bytes_backward,0.04166045231816667
num__Init_Win_bytes_forward,0.03900191941289764
num__Fwd.Packet.Length.Max,0.02068336918809803
num__Flow.IAT.Max,0.019911959713703006
num__min_seg_size_forward,0.019871689609989942
num__Flow.Duration,0.01957040204375015
num__Flow.IAT.Mean,0.016638289065723125
num__Fwd.IAT.Max,0.015922209178916142
num__Fwd.Packet.Length.Std,0.015814746115024852
num__Bwd.IAT.Max,0.015559554105492193
num__Total.Length.of.Fwd.Packets,0.015405904490103347
num__Flow.Packets.s,0.015223589913726078
num__Subflow.Fwd.Bytes,0.015062885975349678
num__Average.Packet.Size,0.015054208820285808
num__Fwd.Packets.s,0.014826337273612348
num__Bwd.Packet.Length.Max,0.014443242707797758
num__Avg.Fwd.Segment.Size,0.01410027506697653
num__Fwd.Bytes.Per.Packet,0.014090807938420763
num__Fwd.IAT.Total,0.013906938688921405
num__Packet.Length.Mean,0.013852222093678411
num__Fwd.Packets.Per.Second,0.013782608034917529
num__Fwd.Packet.Length.Mean,0.01374687860939431
num__Fwd.IAT.Mean,0.013683044559866676
